"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"10 years"	"10"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	57	8031800	0.7
	"10 years"	"10"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	12	8031800	Unreliable
	"10 years"	"10"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	57	8031800	0.7
	"10 years"	"10"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	17	8031800	Unreliable
	"10 years"	"10"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	283	8031800	3.5
	"10 years"	"10"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	32	8390879	0.4
	"10 years"	"10"	"Male"	"M"	"Neoplasms"	"C00-D48"	175	8390879	2.1
	"10 years"	"10"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	8390879	Unreliable
	"10 years"	"10"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	41	8390879	0.5
	"10 years"	"10"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	105	8390879	1.3
	"10 years"	"10"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	52	8390879	0.6
	"10 years"	"10"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	74	8390879	0.9
	"10 years"	"10"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	25	8390879	0.3
	"10 years"	"10"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	11	8390879	Unreliable
	"10 years"	"10"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	69	8390879	0.8
	"10 years"	"10"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	21	8390879	0.3
	"10 years"	"10"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	10	8390879	Unreliable
	"10 years"	"10"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	463	8390879	5.5
	"11 years"	"11"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	23	8146264	0.3
	"11 years"	"11"	"Female"	"F"	"Neoplasms"	"C00-D48"	156	8146264	1.9
	"11 years"	"11"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	8146264	Unreliable
	"11 years"	"11"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	44	8146264	0.5
	"11 years"	"11"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	83	8146264	1.0
	"11 years"	"11"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	60	8146264	0.7
	"11 years"	"11"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	59	8146264	0.7
	"11 years"	"11"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	14	8146264	Unreliable
	"11 years"	"11"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	69	8146264	0.8
	"11 years"	"11"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	25	8146264	0.3
	"11 years"	"11"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	322	8146264	4.0
	"11 years"	"11"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	25	8508404	0.3
	"11 years"	"11"	"Male"	"M"	"Neoplasms"	"C00-D48"	173	8508404	2.0
	"11 years"	"11"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	48	8508404	0.6
	"11 years"	"11"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	98	8508404	1.2
	"11 years"	"11"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	60	8508404	0.7
	"11 years"	"11"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	74	8508404	0.9
	"11 years"	"11"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	21	8508404	0.2
	"11 years"	"11"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	74	8508404	0.9
	"11 years"	"11"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	29	8508404	0.3
	"11 years"	"11"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	557	8508404	6.5
	"12 years"	"12"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	19	8242817	Unreliable
	"12 years"	"12"	"Female"	"F"	"Neoplasms"	"C00-D48"	170	8242817	2.1
	"12 years"	"12"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	40	8242817	0.5
	"12 years"	"12"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	99	8242817	1.2
	"12 years"	"12"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	59	8242817	0.7
	"12 years"	"12"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	49	8242817	0.6
	"12 years"	"12"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	12	8242817	Unreliable
	"12 years"	"12"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	59	8242817	0.7
	"12 years"	"12"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	21	8242817	0.3
	"12 years"	"12"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	458	8242817	5.6
	"12 years"	"12"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	24	8614347	0.3
	"12 years"	"12"	"Male"	"M"	"Neoplasms"	"C00-D48"	198	8614347	2.3
	"12 years"	"12"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	8614347	Unreliable
	"12 years"	"12"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	51	8614347	0.6
	"12 years"	"12"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	102	8614347	1.2
	"12 years"	"12"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	75	8614347	0.9
	"12 years"	"12"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	84	8614347	1.0
	"12 years"	"12"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	25	8614347	0.3
	"12 years"	"12"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	70	8614347	0.8
	"12 years"	"12"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	24	8614347	0.3
	"12 years"	"12"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	16	8614347	Unreliable
	"12 years"	"12"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	678	8614347	7.9
	"13 years"	"13"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	21	8308702	0.3
	"13 years"	"13"	"Female"	"F"	"Neoplasms"	"C00-D48"	182	8308702	2.2
	"13 years"	"13"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	8308702	Unreliable
	"13 years"	"13"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	41	8308702	0.5
	"13 years"	"13"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	101	8308702	1.2
	"13 years"	"13"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	58	8308702	0.7
	"13 years"	"13"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	79	8308702	1.0
	"13 years"	"13"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	14	8308702	Unreliable
	"13 years"	"13"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	60	8308702	0.7
	"13 years"	"13"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	24	8308702	0.3
	"13 years"	"13"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	12	8308702	Unreliable
	"13 years"	"13"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	599	8308702	7.2
	"13 years"	"13"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	29	8685908	0.3
	"13 years"	"13"	"Male"	"M"	"Neoplasms"	"C00-D48"	223	8685908	2.6
	"13 years"	"13"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	19	8685908	Unreliable
	"13 years"	"13"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	48	8685908	0.6
	"13 years"	"13"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	141	8685908	1.6
	"13 years"	"13"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	80	8685908	0.9
	"13 years"	"13"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	63	8685908	0.7
	"13 years"	"13"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	27	8685908	0.3
	"13 years"	"13"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	79	8685908	0.9
	"13 years"	"13"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	33	8685908	0.4
	"13 years"	"13"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	14	8685908	Unreliable
	"13 years"	"13"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	1016	8685908	11.7
	"14 years"	"14"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	25	8290127	0.3
	"14 years"	"14"	"Female"	"F"	"Neoplasms"	"C00-D48"	168	8290127	2.0
	"14 years"	"14"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	13	8290127	Unreliable
	"14 years"	"14"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	46	8290127	0.6
	"14 years"	"14"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	102	8290127	1.2
	"14 years"	"14"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	80	8290127	1.0
	"14 years"	"14"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	51	8290127	0.6
	"14 years"	"14"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	22	8290127	0.3
	"14 years"	"14"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	72	8290127	0.9
	"14 years"	"14"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	28	8290127	0.3
	"14 years"	"14"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	18	8290127	Unreliable
	"14 years"	"14"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	742	8290127	9.0
	"14 years"	"14"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	29	8660754	0.3
	"14 years"	"14"	"Male"	"M"	"Neoplasms"	"C00-D48"	240	8660754	2.8
	"14 years"	"14"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	14	8660754	Unreliable
	"14 years"	"14"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	47	8660754	0.5
	"14 years"	"14"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	145	8660754	1.7
	"14 years"	"14"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	100	8660754	1.2
	"14 years"	"14"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	63	8660754	0.7
	"14 years"	"14"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	19	8660754	Unreliable
	"14 years"	"14"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	81	8660754	0.9
	"14 years"	"14"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	38	8660754	0.4
	"14 years"	"14"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	12	8660754	Unreliable
	"14 years"	"14"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	1648	8660754	19.0
	"15 years"	"15"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	28	8247266	0.3
	"15 years"	"15"	"Female"	"F"	"Neoplasms"	"C00-D48"	188	8247266	2.3
	"15 years"	"15"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	16	8247266	Unreliable
	"15 years"	"15"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	52	8247266	0.6
	"15 years"	"15"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	86	8247266	1.0
	"15 years"	"15"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	99	8247266	1.2
	"15 years"	"15"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	66	8247266	0.8
	"15 years"	"15"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	16	8247266	Unreliable
	"15 years"	"15"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	8247266	Unreliable
	"15 years"	"15"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	71	8247266	0.9
	"15 years"	"15"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	32	8247266	0.4
	"15 years"	"15"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	29	8247266	0.4
	"15 years"	"15"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	960	8247266	11.6
	"15 years"	"15"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	26	8601257	0.3
	"15 years"	"15"	"Male"	"M"	"Neoplasms"	"C00-D48"	278	8601257	3.2
	"15 years"	"15"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	22	8601257	0.3
	"15 years"	"15"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	65	8601257	0.8
	"15 years"	"15"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	167	8601257	1.9
	"15 years"	"15"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	130	8601257	1.5
	"15 years"	"15"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	69	8601257	0.8
	"15 years"	"15"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	28	8601257	0.3
	"15 years"	"15"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	73	8601257	0.8
	"15 years"	"15"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	41	8601257	0.5
	"15 years"	"15"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	33	8601257	0.4
	"15 years"	"15"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	2427	8601257	28.2
	"16 years"	"16"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	26	8215952	0.3
	"16 years"	"16"	"Female"	"F"	"Neoplasms"	"C00-D48"	177	8215952	2.2
	"16 years"	"16"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	8215952	Unreliable
	"16 years"	"16"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	63	8215952	0.8
	"16 years"	"16"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	99	8215952	1.2
	"16 years"	"16"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	87	8215952	1.1
	"16 years"	"16"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	41	8215952	0.5
	"16 years"	"16"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	24	8215952	0.3
	"16 years"	"16"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	12	8215952	Unreliable
	"16 years"	"16"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	68	8215952	0.8
	"16 years"	"16"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	47	8215952	0.6
	"16 years"	"16"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	23	8215952	0.3
	"16 years"	"16"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	1340	8215952	16.3
	"16 years"	"16"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	31	8563548	0.4
	"16 years"	"16"	"Male"	"M"	"Neoplasms"	"C00-D48"	278	8563548	3.2
	"16 years"	"16"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	18	8563548	Unreliable
	"16 years"	"16"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	62	8563548	0.7
	"16 years"	"16"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	183	8563548	2.1
	"16 years"	"16"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	153	8563548	1.8
	"16 years"	"16"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	61	8563548	0.7
	"16 years"	"16"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	24	8563548	0.3
	"16 years"	"16"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	105	8563548	1.2
	"16 years"	"16"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	74	8563548	0.9
	"16 years"	"16"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	37	8563548	0.4
	"16 years"	"16"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	3621	8563548	42.3
	"17 years"	"17"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	28	8265770	0.3
	"17 years"	"17"	"Female"	"F"	"Neoplasms"	"C00-D48"	187	8265770	2.3
	"17 years"	"17"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	13	8265770	Unreliable
	"17 years"	"17"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	64	8265770	0.8
	"17 years"	"17"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	11	8265770	Unreliable
	"17 years"	"17"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	108	8265770	1.3
	"17 years"	"17"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	112	8265770	1.4
	"17 years"	"17"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	65	8265770	0.8
	"17 years"	"17"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	26	8265770	0.3
	"17 years"	"17"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	15	8265770	Unreliable
	"17 years"	"17"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	55	8265770	0.7
	"17 years"	"17"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	49	8265770	0.6
	"17 years"	"17"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	37	8265770	0.4
	"17 years"	"17"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	1656	8265770	20.0
	"17 years"	"17"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	33	8616859	0.4
	"17 years"	"17"	"Male"	"M"	"Neoplasms"	"C00-D48"	320	8616859	3.7
	"17 years"	"17"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	36	8616859	0.4
	"17 years"	"17"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	60	8616859	0.7
	"17 years"	"17"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	213	8616859	2.5
	"17 years"	"17"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	171	8616859	2.0
	"17 years"	"17"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	84	8616859	1.0
	"17 years"	"17"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	31	8616859	0.4
	"17 years"	"17"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	71	8616859	0.8
	"17 years"	"17"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	81	8616859	0.9
	"17 years"	"17"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	46	8616859	0.5
	"17 years"	"17"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	5119	8616859	59.4
	"18 years"	"18"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	32	8330753	0.4
	"18 years"	"18"	"Female"	"F"	"Neoplasms"	"C00-D48"	232	8330753	2.8
	"18 years"	"18"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	20	8330753	0.2
	"18 years"	"18"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	92	8330753	1.1
	"18 years"	"18"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	20	8330753	0.2
